"","region","year","vrp"
"1","Белгородская область",1998,18245.5
"2","Белгородская область",1999,32060.6
"3","Белгородская область",2000,42074.5
"4","Белгородская область",2001,49941.8
"5","Белгородская область",2002,62404.4
"6","Белгородская область",2003,76054.5
"7","Белгородская область",2004,114409.3
"8","Белгородская область",2005,144987.8
"9","Белгородская область",2006,178846.1
"10","Белгородская область",2007,237013.3
"11","Белгородская область",2008,317656.3
"12","Белгородская область",2009,304345.3
"13","Белгородская область",2010,398361.4
"14","Белгородская область",2011,507839.8
"15","Белгородская область",2012,545517.2
"16","Белгородская область",2013,569006.4
"17","Белгородская область",2014,619677.7
"18","Белгородская область",2015,693379.4
"19","Белгородская область",2016,778027.8
"20","Белгородская область",2017,837306.8
"21","Белгородская область",2018,911597.9
"22","Белгородская область",2019,955951.6
"23","Брянская область",1998,11051.3
"24","Брянская область",1999,16809.4
"25","Брянская область",2000,24650.5
"26","Брянская область",2001,30110.3
"27","Брянская область",2002,37374.1
"28","Брянская область",2003,43700.3
"29","Брянская область",2004,51003.4
"30","Брянская область",2005,66692.3
"31","Брянская область",2006,82100.4
"32","Брянская область",2007,102706.2
"33","Брянская область",2008,125834.4
"34","Брянская область",2009,126477.4
"35","Брянская область",2010,147024
"36","Брянская область",2011,174211.8
"37","Брянская область",2012,207397.5
"38","Брянская область",2013,219502.8
"39","Брянская область",2014,242722.4
"40","Брянская область",2015,271782.5
"41","Брянская область",2016,316489.4
"42","Брянская область",2017,341177.8
"43","Брянская область",2018,367157.1
"44","Брянская область",2019,397714.3
"45","Владимирская область",1998,14936.9
"46","Владимирская область",1999,24481
"47","Владимирская область",2000,33017.7
"48","Владимирская область",2001,42075.4
"49","Владимирская область",2002,50359.9
"50","Владимирская область",2003,61818.6
"51","Владимирская область",2004,74207
"52","Владимирская область",2005,86926.8
"53","Владимирская область",2006,112841.7
"54","Владимирская область",2007,146663
"55","Владимирская область",2008,175395.7
"56","Владимирская область",2009,185824.6
"57","Владимирская область",2010,224759.2
"58","Владимирская область",2011,261222.6
"59","Владимирская область",2012,286018.6
"60","Владимирская область",2013,306641.4
"61","Владимирская область",2014,328064.2
"62","Владимирская область",2015,368489.2
"63","Владимирская область",2016,431549.8
"64","Владимирская область",2017,449849.2
"65","Владимирская область",2018,480027.8
"66","Владимирская область",2019,537434.6
"67","Воронежская область",1998,22381.9
"68","Воронежская область",1999,36278.8
"69","Воронежская область",2000,49523.9
"70","Воронежская область",2001,60014.6
"71","Воронежская область",2002,83001.1
"72","Воронежская область",2003,100143.3
"73","Воронежская область",2004,117197.6
"74","Воронежская область",2005,133586.6
"75","Воронежская область",2006,166176.5
"76","Воронежская область",2007,222811.9
"77","Воронежская область",2008,287072.1
"78","Воронежская область",2009,301729.1
"79","Воронежская область",2010,346568.2
"80","Воронежская область",2011,474973.9
"81","Воронежская область",2012,563965.4
"82","Воронежская область",2013,611720.4
"83","Воронежская область",2014,717667.2
"84","Воронежская область",2015,805969.6
"85","Воронежская область",2016,827928.6
"86","Воронежская область",2017,873429.4
"87","Воронежская область",2018,951292.3
"88","Воронежская область",2019,1002597.7
"89","Ивановская область",1998,8278.4
"90","Ивановская область",1999,11743.6
"91","Ивановская область",2000,16900
"92","Ивановская область",2001,22175.9
"93","Ивановская область",2002,26981.3
"94","Ивановская область",2003,33214.6
"95","Ивановская область",2004,40159.4
"96","Ивановская область",2005,44415.4
"97","Ивановская область",2006,55090
"98","Ивановская область",2007,74752
"99","Ивановская область",2008,86980.3
"100","Ивановская область",2009,87061.9
"101","Ивановская область",2010,109884.5
"102","Ивановская область",2011,128905.4
"103","Ивановская область",2012,136115
"104","Ивановская область",2013,158228.7
"105","Ивановская область",2014,151876.8
"106","Ивановская область",2015,180517.5
"107","Ивановская область",2016,205818.6
"108","Ивановская область",2017,212464.7
"109","Ивановская область",2018,232493.6
"110","Ивановская область",2019,249755.8
"111","Калужская область",1998,10097.3
"112","Калужская область",1999,16009.8
"113","Калужская область",2000,23903.3
"114","Калужская область",2001,31860
"115","Калужская область",2002,37283.1
"116","Калужская область",2003,48792.7
"117","Калужская область",2004,57993.8
"118","Калужская область",2005,70953.9
"119","Калужская область",2006,86150.5
"120","Калужская область",2007,111869
"121","Калужская область",2008,150394.4
"122","Калужская область",2009,154946.1
"123","Калужская область",2010,188601.3
"124","Калужская область",2011,234749
"125","Калужская область",2012,285256.6
"126","Калужская область",2013,292841
"127","Калужская область",2014,326459.5
"128","Калужская область",2015,339760.8
"129","Калужская область",2016,409462.3
"130","Калужская область",2017,457052.5
"131","Калужская область",2018,507632.2
"132","Калужская область",2019,545109.4
"133","Костромская область",1998,8478.9
"134","Костромская область",1999,13363.6
"135","Костромская область",2000,16662.2
"136","Костромская область",2001,22221.5
"137","Костромская область",2002,25952.9
"138","Костромская область",2003,29692.1
"139","Костромская область",2004,37787.4
"140","Костромская область",2005,44684.7
"141","Костромская область",2006,54351.1
"142","Костромская область",2007,65700.4
"143","Костромская область",2008,81040.7
"144","Костромская область",2009,78920.7
"145","Костромская область",2010,98130.7
"146","Костромская область",2011,116629.8
"147","Костромская область",2012,130840.4
"148","Костромская область",2013,139015.9
"149","Костромская область",2014,146731.5
"150","Костромская область",2015,160579.8
"151","Костромская область",2016,170225.1
"152","Костромская область",2017,178485.6
"153","Костромская область",2018,191812.9
"154","Костромская область",2019,202926.1
"155","Курская область",1998,15507.9
"156","Курская область",1999,22033.9
"157","Курская область",2000,30167.7
"158","Курская область",2001,36399.8
"159","Курская область",2002,45309.4
"160","Курская область",2003,56383.1
"161","Курская область",2004,76506.1
"162","Курская область",2005,86624.9
"163","Курская область",2006,104035.7
"164","Курская область",2007,128799
"165","Курская область",2008,167865.8
"166","Курская область",2009,161570.9
"167","Курская область",2010,193648.6
"168","Курская область",2011,228851.4
"169","Курская область",2012,248213.1
"170","Курская область",2013,271542.5
"171","Курская область",2014,298287.3
"172","Курская область",2015,336999.4
"173","Курская область",2016,379011.3
"174","Курская область",2017,404759.8
"175","Курская область",2018,451000.5
"176","Курская область",2019,496699.4
"177","Липецкая область",1998,16400.5
"178","Липецкая область",1999,31008.7
"179","Липецкая область",2000,48067.7
"180","Липецкая область",2001,50574.1
"181","Липецкая область",2002,70590.5
"182","Липецкая область",2003,96241.9
"183","Липецкая область",2004,141778.3
"184","Липецкая область",2005,145194.4
"185","Липецкая область",2006,179057.3
"186","Липецкая область",2007,209821.5
"187","Липецкая область",2008,259532.2
"188","Липецкая область",2009,226662
"189","Липецкая область",2010,248544.9
"190","Липецкая область",2011,287816.8
"191","Липецкая область",2012,293301.3
"192","Липецкая область",2013,315685.4
"193","Липецкая область",2014,398464.5
"194","Липецкая область",2015,448994.3
"195","Липецкая область",2016,501263.5
"196","Липецкая область",2017,522266.2
"197","Липецкая область",2018,604396.2
"198","Липецкая область",2019,570380
"199","Московская область",1998,82056.8
"200","Московская область",1999,131178.3
"201","Московская область",2000,176693.6
"202","Московская область",2001,235159.6
"203","Московская область",2002,312950
"204","Московская область",2003,412089.3
"205","Московская область",2004,535204.4
"206","Московская область",2005,708062.1
"207","Московская область",2006,934328.9
"208","Московская область",2007,1295649.9
"209","Московская область",2008,1645753
"210","Московская область",2009,1519446.3
"211","Московская область",2010,1832867.3
"212","Московская область",2011,2176795.3
"213","Московская область",2012,2357081.9
"214","Московская область",2013,2545951.5
"215","Московская область",2014,2742886.1
"216","Московская область",2015,3180924.6
"217","Московская область",2016,4206506
"218","Московская область",2017,4290261.2
"219","Московская область",2018,4644635
"220","Московская область",2019,5128439.1
"221","Орловская область",1998,9506.9
"222","Орловская область",1999,15800
"223","Орловская область",2000,22160.8
"224","Орловская область",2001,27624.8
"225","Орловская область",2002,35657.4
"226","Орловская область",2003,42073.3
"227","Орловская область",2004,46042.3
"228","Орловская область",2005,53181.9
"229","Орловская область",2006,64801.6
"230","Орловская область",2007,77101.2
"231","Орловская область",2008,96669.9
"232","Орловская область",2009,90623.6
"233","Орловская область",2010,106196.7
"234","Орловская область",2011,131198.2
"235","Орловская область",2012,146103.2
"236","Орловская область",2013,164797
"237","Орловская область",2014,178822.5
"238","Орловская область",2015,208237.9
"239","Орловская область",2016,228583.1
"240","Орловская область",2017,231118.4
"241","Орловская область",2018,247105.5
"242","Орловская область",2019,265672.7
"243","Рязанская область",1998,12943.8
"244","Рязанская область",1999,20108.1
"245","Рязанская область",2000,27956.5
"246","Рязанская область",2001,37054.3
"247","Рязанская область",2002,45797.5
"248","Рязанская область",2003,59607.2
"249","Рязанская область",2004,69996
"250","Рязанская область",2005,84382.7
"251","Рязанская область",2006,105491.9
"252","Рязанская область",2007,121305.2
"253","Рязанская область",2008,150151.2
"254","Рязанская область",2009,153634.1
"255","Рязанская область",2010,179127.9
"256","Рязанская область",2011,214142.6
